revenue_sum,l_orderkey,o_orderdate,o_shippriority
57986.6224,577,1994-12-19,0
82111.5548,1281,1994-12-11,0
268170.6408,1637,1995-02-08,0
144855.1948,2053,1995-02-07,0
29584.063599999998,2114,1995-01-16,0
8263.765,3430,1994-12-12,0
153733.9603,3814,1995-02-22,0
45774.437999999995,6791,1995-02-02,0
166329.4848,7840,1995-01-09,0
188626.41809999998,8133,1995-02-27,0
132289.4996,8195,1995-01-07,0
252014.5497,9696,1995-02-20,0
48399.6149,10436,1995-01-03,0
23977.296,10624,1994-12-21,0
7433.629499999999,11073,1994-12-02,0
133448.9164,11617,1994-12-11,0
146310.5347,11719,1995-02-06,0
16636.6368,12706,1994-11-21,0
20442.405600000002,13479,1994-12-05,0
125286.4744,13956,1995-03-13,0
52520.8138,15111,1994-12-18,0
17152.2,15361,1994-11-24,0
100648.69559999999,16262,1995-01-02,0
28522.9728,16837,1995-01-22,0
13956.3645,17668,1994-11-26,0
107495.3268,18244,1995-02-12,0
140452.386,19365,1995-01-17,0
66725.6853,19780,1995-02-05,0
136129.1387,21639,1995-02-03,0
28093.3788,21824,1995-02-08,0
27496.0542,21890,1995-01-25,0
19049.494799999997,22279,1994-12-23,0
10946.583,22564,1995-02-25,0
84310.64,22756,1994-12-25,0
142749.83729999998,23426,1995-02-17,0
3659.222,24096,1995-03-01,0
179882.9924,24198,1995-02-09,0
24129.648,24709,1995-01-16,0
167035.5646,25188,1995-01-04,0
50313.3956,25926,1994-11-21,0
47495.76,26049,1995-03-01,0
43280.116799999996,26432,1994-12-31,0
157916.49360000002,26723,1995-03-04,0
135506.9888,27811,1995-03-05,0
105952.5796,27975,1995-02-13,0
46041.3034,28993,1995-03-10,0
44677.74,30151,1995-01-30,0
27171.353600000002,30182,1995-01-09,0
50443.899399999995,32578,1995-02-06,0
177186.7794,33764,1995-02-11,0
36765.615600000005,33824,1995-03-03,0
89799.8972,34433,1995-01-20,0
70161.96,34724,1994-12-28,0
41744.129,35399,1995-01-22,0
33886.921200000004,36069,1994-12-06,0
77431.6224,36258,1995-02-10,0
53892.5184,36454,1995-02-19,0
14152.998399999999,36992,1994-12-08,0
105129.4076,37570,1995-03-10,0
83045.8222,37863,1995-02-25,0
38062.715,38784,1995-02-04,0
85112.118,38822,1994-12-28,0
31772.66,39270,1995-02-07,0
30887.712,40000,1995-01-30,0
230209.10669999997,40612,1995-03-01,0
13474.862399999998,40835,1994-11-25,0
53386.873199999995,41062,1995-01-19,0
