time,symbol,size,price,seq,bid,ask,bsize,asize,is_nbbo
53,ZU,-1.3,0.97,1.15,0.33,0.02,0.07,0.75,false
140,ZU,0.06,0.25,1.15,0.33,0.02,0.07,0.75,false
194,ZU,1.45,0.73,-1.34,-0.9,-0.64,-0.92,1.6,false
210,ZU,0.2,-0.53,-1.34,-0.9,-0.64,-0.92,1.6,false
405,ZU,-0.93,-1.89,0.61,-0.08,1.35,0.4,-0.22,false
425,ZU,1.43,-1.14,0.61,-0.08,1.35,0.4,-0.22,false
432,ZU,1.19,0.47,0.61,-0.08,1.35,0.4,-0.22,false
442,ZU,-0.92,0.19,0.61,-0.08,1.35,0.4,-0.22,false
478,ZU,1.46,-0.19,0.61,-0.08,1.35,0.4,-0.22,false
525,ZU,-0.6,-0.95,0.61,-0.08,1.35,0.4,-0.22,false
537,ZU,-0.58,0.47,0.61,-0.08,1.35,0.4,-0.22,false
612,ZU,1.38,-0.49,-0.66,0.56,1.62,1.01,-0.62,false
710,ZU,-0.38,-0.58,-0.15,1.72,-0.11,0.97,-0.71,true
743,ZU,0.89,-0.63,0.32,0.41,-1.04,-0.29,0.51,false
750,ZU,-0.51,-1.2,0.32,0.41,-1.04,-0.29,0.51,false
888,ZU,-1.35,0.19,0.26,1.46,-0.04,-0.46,0.08,false
999,ZU,-1.12,0.05,-0.68,1.11,0.34,0.48,0.68,true
1018,ZU,1.33,-0.41,-0.68,1.11,0.34,0.48,0.68,true
1040,ZU,0.07,-2.26,-0.68,1.11,0.34,0.48,0.68,true
1211,ZU,0.99,-2.18,-1.7,-0.03,-0.69,-1.06,-1.08,true
1232,ZU,0.55,-0.25,0.29,0.31,-1.35,-0.94,1.09,false
1294,ZU,-0.35,-0.3,1.18,0.36,1.06,-0.86,0.19,false
1406,ZU,0.89,-0.67,0.4,1.17,-1.0,1.09,-1.81,false
1409,ZU,-0.42,-0.32,0.4,1.17,-1.0,1.09,-1.81,false
1536,ZU,0.21,-0.53,1.24,0.2,0.62,0.73,0.33,false
1570,ZU,1.82,-0.62,1.24,0.2,0.62,0.73,0.33,false
1575,ZU,1.28,0.32,1.24,0.2,0.62,0.73,0.33,false
1655,ZU,1.1,1.03,1.24,0.2,0.62,0.73,0.33,false
1671,ZU,0.98,1.02,1.24,0.2,0.62,0.73,0.33,false
1690,ZU,-0.65,1.56,1.24,0.2,0.62,0.73,0.33,false
1736,ZU,-0.59,0.1,1.24,0.2,0.62,0.73,0.33,false
1879,ZU,-0.05,0.03,1.24,0.2,0.62,0.73,0.33,false
1949,ZU,-0.64,0.98,-1.64,0.18,1.86,-0.16,-0.06,true
1971,ZU,0.24,-0.77,-1.64,0.18,1.86,-0.16,-0.06,true
2099,ZU,-2.66,0.48,-1.64,0.18,1.86,-0.16,-0.06,true
2138,ZU,-0.29,-0.12,-1.64,0.18,1.86,-0.16,-0.06,true
2148,ZU,0.51,-1.09,-1.64,0.18,1.86,-0.16,-0.06,true
2235,ZU,1.75,-0.71,0.79,0.16,1.06,-0.45,1.02,true
2494,ZU,0.61,-1.92,1.11,-0.84,-1.04,-0.32,-1.32,true
2886,ZU,-0.96,-0.35,0.06,1.13,0.43,0.99,1.08,true
3022,ZU,0.56,-0.75,-0.24,-0.89,1.35,0.04,0.58,true
3108,ZU,-0.57,0.42,1.29,-3.03,-0.89,0.16,0.07,true
3149,ZU,-0.33,-0.43,0.49,0.12,-1.07,-0.76,0.3,true
3169,ZU,1.8,0.98,0.49,0.12,-1.07,-0.76,0.3,true
3369,ZU,0.99,0.78,-0.83,-0.24,-0.38,0.06,-0.46,true
3568,ZU,-1.63,-0.71,-1.65,0.18,-0.72,0.83,-0.41,true
3676,ZU,0.91,0.87,-1.65,0.18,-0.72,0.83,-0.41,true
3828,ZU,1.05,-1.55,0.18,0.33,0.39,0.38,0.08,true
3956,ZU,-0.58,0.51,-1.15,-0.09,0.33,-0.41,1.09,false
3989,ZU,0.25,-0.43,-1.15,-0.09,0.33,-0.41,1.09,false
4031,ZU,0.85,1.23,-1.67,0.27,-0.09,1.54,-0.32,false
4122,ZU,0.63,0.76,0.8,-0.67,0.08,0.67,-2.08,true
4180,ZU,-0.92,-0.88,0.8,-0.67,0.08,0.67,-2.08,true
4381,ZU,-1.92,-1.85,-0.85,0.25,-0.71,0.85,1.57,false
4452,ZU,-0.43,-0.07,0.41,0.43,-0.3,0.27,0.24,true
4491,ZU,-0.43,-0.02,0.41,0.43,-0.3,0.27,0.24,true
4556,ZU,0.78,0.17,0.3,-1.43,0.17,-2.65,-1.14,false
4565,ZU,-1.2,0.57,0.3,-1.43,0.17,-2.65,-1.14,false
4604,ZU,0.43,1.25,0.3,-1.43,0.17,-2.65,-1.14,false
4642,ZU,-0.19,0.57,0.3,-1.43,0.17,-2.65,-1.14,false
4740,ZU,0.39,0.1,0.12,-0.59,0.89,-0.56,-1.19,false
4898,ZU,-1.53,-0.68,1.02,0.9,0.54,-0.52,-0.05,true
4910,ZU,0.21,-2.29,-0.45,0.35,1.01,-1.57,1.71,true
4975,ZU,1.93,-0.17,-1.73,-0.74,0.07,0.76,1.35,true
4994,ZU,0.27,0.67,-1.73,-0.74,0.07,0.76,1.35,true
5018,ZU,0.09,-0.38,0.36,-2.5,0.12,1.61,-0.02,false
5177,ZU,0.71,-0.99,0.68,0.21,-0.7,-0.4,0.7,false
5245,ZU,-1.13,0.41,0.34,-1.35,-0.7,0.91,2.01,true
5273,ZU,-0.07,0.12,0.08,1.02,-0.82,-0.11,-1.03,true
5298,ZU,-1.27,0.49,0.08,1.02,-0.82,-0.11,-1.03,true
5301,ZU,0.2,-0.22,0.08,1.02,-0.82,-0.11,-1.03,true
5326,ZU,-0.1,-0.06,0.08,1.02,-0.82,-0.11,-1.03,true
5359,ZU,0.16,-1.11,0.08,1.02,-0.82,-0.11,-1.03,true
5366,ZU,-0.78,-1.68,0.08,1.02,-0.82,-0.11,-1.03,true
5376,ZU,0.74,0.93,0.08,1.02,-0.82,-0.11,-1.03,true
5496,ZU,0.14,-0.41,-1.57,-0.34,0.13,-0.38,-0.08,false
5556,ZU,0.58,0.38,-1.57,-0.34,0.13,-0.38,-0.08,false
5598,ZU,-0.23,-1.34,-1.57,-0.34,0.13,-0.38,-0.08,false
5651,ZU,-0.78,-0.38,-1.57,-0.34,0.13,-0.38,-0.08,false
5676,ZU,-0.81,-2.06,-1.57,-0.34,0.13,-0.38,-0.08,false
5816,ZU,-0.24,-0.36,-0.41,-0.73,-1.41,-2.4,0.51,false
5932,ZU,1.76,1.33,1.19,-0.04,-0.83,-1.11,-0.98,true
5951,ZU,1.27,0.24,1.19,-0.04,-0.83,-1.11,-0.98,true
5953,ZU,0.57,-1.48,1.19,-0.04,-0.83,-1.11,-0.98,true
5967,ZU,0.59,-0.46,1.19,-0.04,-0.83,-1.11,-0.98,true
6003,ZU,-1.97,-0.5,1.19,-0.04,-0.83,-1.11,-0.98,true
6038,ZU,-0.28,-0.18,1.19,-0.04,-0.83,-1.11,-0.98,true
6045,ZU,-0.21,0.0,1.19,-0.04,-0.83,-1.11,-0.98,true
6078,ZU,-1.52,0.17,1.19,-0.04,-0.83,-1.11,-0.98,true
